1,3.723472,0.130532
2,3.749434,0.126476
3,3.746438,0.129982
4,3.755846,0.123687
5,3.764939,0.110955
6,3.788960,0.088789
7,3.792769,0.083514
8,3.802754,0.075723
9,3.808246,0.073756
10,3.806639,0.076474
11,3.803738,0.073384
12,3.798345,0.086529
13,3.810726,0.087248
14,3.816026,0.061032
15,3.817646,0.065279
16,3.814649,0.071548
17,3.816262,0.065311
18,3.821062,0.061632
19,3.818567,0.066127
20,3.822168,0.061615
21,3.813035,0.077811
22,3.822258,0.066661
23,3.820929,0.067885
24,3.821850,0.064072
25,3.830431,0.053338
26,3.825404,0.061440
27,3.818741,0.082289
28,3.822141,0.066177
29,3.826184,0.062876
30,3.829115,0.058862
31,3.822405,0.072168
32,3.820508,0.071043
33,3.821802,0.064824
34,3.826680,0.058897
35,3.825559,0.066198
36,3.825940,0.062306
37,3.828854,0.055028
38,3.829964,0.052823
39,3.829033,0.056030
40,3.829360,0.069775
41,3.824420,0.074969
42,3.826123,0.070266
43,3.822889,0.078001
44,3.824115,0.077366
45,3.827714,0.072365
46,3.828935,0.062768
47,3.826536,0.071510
48,3.823734,0.075110
49,3.825104,0.067613
50,3.826745,0.068671
51,3.827708,0.063566
52,3.825231,0.068952
53,3.828870,0.056714
54,3.830862,0.054501
55,3.831156,0.054560
56,3.831639,0.052664
57,3.830716,0.052571
58,3.830726,0.050421
59,3.831725,0.048609
60,3.832500,0.050280
61,3.834304,0.044839
62,3.832802,0.050776
63,3.831153,0.053001
64,3.835027,0.046514
65,3.837755,0.040184
66,3.837656,0.040112
67,3.836517,0.043635
68,3.835440,0.044647
69,3.836060,0.044073
70,3.835843,0.043165
71,3.838459,0.040336
72,3.833843,0.048150
73,3.831809,0.054749
74,3.830657,0.055276
75,3.829695,0.055457
76,3.833578,0.048801
77,3.834201,0.048718
78,3.836009,0.045207
79,3.834492,0.048455
80,3.835562,0.048803
81,3.838007,0.043623
82,3.835359,0.047479
83,3.833622,0.058917
84,3.835002,0.047960
85,3.836286,0.047491
86,3.836195,0.047486
87,3.837275,0.044562
88,3.836254,0.047487
89,3.838106,0.043743
90,3.836119,0.047490
91,3.835345,0.047482
92,3.836388,0.045193
93,3.833416,0.051164
94,3.834565,0.052528
95,3.832220,0.055914
96,3.831160,0.059329
97,3.837069,0.047299
98,3.833098,0.062480
99,3.834141,0.054731
100,3.836690,0.047475
